Date,CustomerID,ProductType,Rating,Total_Ratings,Gender,PaymentMode,ShippingMode,ShippingTime,Price
5/8/2020 0:00,10491,Coats/Jackets,1 start,9714,Female,Prepaid Card,Economy,20.0,"€ 1,514.11"
13/08/20,10492,Dresses,4 star,9170,Unspecified,Directdeposit,Express,19.0,£ 3854.8617452500007
4/8/2020 0:00,10493,Pants,4 star,6943,Unspecified,Ewallet,Normal,17.0,₹ 634808.1963701401
3/8/2020 0:00,10494,dresses ,2 star,5668,Male,Credit Card,Mail,20.0,₹ 596893.42988816
7/8/2020 0:00,10495,Shirts/Tops,4 star,5077,Unspecified,Ewallet,,14.0,£ 3215.41893075
8/8/2020 0:00,10496,Hats,4 star,6594,Male,Prepaid Card,Express,20.0,£ 4564.22450475
6/8/2020 0:00,10497,dresses ,1 start,7605,Male,,Express,11.0,"€ 5,813.36"
19/08/20,10498,Coats/Jackets,3 star,9297,Unspecified,Direct Deposit,Express,213.0,₹ 635118.07344224
30/08/20,10499,Pants,4 star,7160,,Cash,Economy,17.0,₹ 176647.10500702
2/8/2020 0:00,10500,Jeans,1 start,9410,,Direct Deposit,Mail,5.0,"$21,312,321.13 "
31/08/20,10501,pantas,4 star,6569,,Creditcard,Normal,9.0,₹ 581033.69733056
30/08/20,10502,,3 star,8823,Female,Ewallet,Normal,16.0,"€ 5,242.22"
30/08/20,10503,,4 star,8117,,Prepaid Card,Express,8.0,₹ 110529.79150523999
24/08/20,10504,,1 start,5037,Female,Ewallet,Normal,14.0,"€ 5,546.63"
29/08/20,10505,Shirts/Tops,3 star,5757,Male,Prepaid Card,Economy,15.0,"$1,024.64 "
7/8/2020 0:00,10506,dresses ,2star,7858,Female,Ewallet,Economy,13.0,"$4,313.74 "
11/8/2020 0:00,10507,dresses ,,5848,Male,Direct Deposit,Economy,19.0,£ 7236.8351195000005
16/08/20,10508,Cardigan,4 star,9566,Female,Mobile,,12.0,₹ 102369.19747878
29/08/20,10509,Jeans,,7352,Unspecified,Creditcard,Express,9.0,"$2,591.72 "
16/08/20,10510,dresses ,1 start,7287,Female,Prepaid Card,Mail,20.0,₹ 217387.35303316
13/08/20,10511,Dresses,4 star,6195,Unspecified,Mobile,Economy,9.0,₹ 514514.66367266
2/8/2020 0:00,10512,pantas,2star,6416,Male,Creditcard,Economy,20.0,£ 5925.050872750001
2/8/2020 0:00,10513,Coats/Jackets,1 start,6535,Male,Mobile Payment,Mail,17.0,"$6,930.87 "
14/08/20,10514,dresses ,5 star,5567,Unspecified,Credit Card,Express,1321.0,"€ 7,261.79"
9/8/2020 0:00,10515,Hats,4 star,8129,Male,,Express,16.0,£ 1442.5028307500002
25/08/20,10516,Jeans,3 star,7033,Male,,Normal,14.0,₹ 167727.12548098
29/08/20,10517,Hats,5 star,7532,Female,Credit Card,Normal,7.0,"$3,124.78 "
21/08/20,10518,Jeans,2star,7285,Female,Creditcard,Normal,14.0,"€ 2,773.90"
20/08/20,10519,Jeans,2star,7678,Unspecified,Ewallet,Normal,18.0,₹ 159529.19686752
6/8/2020 0:00,10520,Hats,4 star,5620,Unspecified,Ewallet,Normal,7.0,"$1,012.61 "
4/8/2020 0:00,10521,Shirts/Tops,4 star,7082,Unspecified,Directdeposit,Normal,10.0,₹ 325505.3302182
12/8/2020 0:00,10522,coates,1 start,9686,Female,Credit Card,Mail,9.0,"$1,813.71 "
30/08/20,10523,Coats/Jackets,1 start,6530,Unspecified,Mobile Payment,Express,10.0,₹ 676891.7428365399
26/08/20,10524,Dresses,3 star,6654,Male,Direct Deposit,Normal,5.0,₹ 442385.73497213994
30/08/20,10525,Cardigan,5 star,6081,Female,Direct Deposit,Economy,12.0,£ 1513.049488
5/8/2020 0:00,10526,Jeans,2 star,9482,Unspecified,Direct Deposit,Normal,10.0,₹ 321706.90933682
1/8/2020 0:00,10527,Dresses,1 start,8880,Male,Creditcard,Mail,11.0,£ 5795.0345085
12/8/2020 0:00,10528,Shirts/Tops,1 start,7484,Unspecified,Creditcard,Economy,16.0,₹ 377596.03938408
2/8/2020 0:00,10529,coates,2 star,5498,Unspecified,Creditcard,Mail,8.0,£ 6029.319179500001
17/08/20,10530,Cardigan,4 star,6930,Female,Cash,Economy,3113.0,"$8,670.69 "
30/08/20,10531,Pants,1 start,8535,Unspecified,Direct Deposit,Normal,18.0,"€ 5,597.06"
21/08/20,10532,Jeans,2star,8399,Female,Credit Card,Economy,8.0,"€ 4,773.37"
4/8/2020 0:00,10533,coates,5 star,8349,Unspecified,Prepaid Card,Normal,10.0,£ 6329.0235485
1/8/2020 0:00,10534,Shirts/Tops,4 star,8046,Male,Creditcard,Normal,9.0,₹ 443946.32070874
8/8/2020 0:00,10535,Cardigan,5 star,5080,Male,Cash,Mail,8.0,"€ 4,853.44"
31/08/20,10536,Jeans,,6878,Male,Prepaid Card,Express,10.0,"$7,072.56 "
18/08/20,10537,Coats/Jackets,2star,9832,Male,Cash,Normal,6.0,"$5,836.06 "
12/8/2020 0:00,10538,Cardigan,2 star,9925,Female,Direct Deposit,Express,16.0,£ 3365.6864065000004
2/8/2020 0:00,10539,pantas,4 star,7374,Female,Credit Card,Normal,12.0,"$1,842.56 "
12/8/2020 0:00,10540,dresses ,1 start,9570,Male,Directdeposit,Express,14.0,£ 2419.99272275
24/08/20,10541,Shirts/Tops,5 star,9015,Unspecified,Creditcard,Economy,11.0,"€ 4,487.03"
20/08/20,10542,Hats,2star,9157,Male,Cash,Mail,3132.0,₹ 708227.40839738
30/08/20,10543,Coats/Jackets,4 star,7100,Female,Mobile,Mail,19.0,"$6,425.44 "
28/08/20,10544,Cardigan,1 start,7547,Male,Ewallet,Mail,14.0,"$5,382.49 "
25/08/20,10545,Shirts/Tops,2star,8819,Female,Credit Card,Express,20.0,"€ 6,765.48"
6/8/2020 0:00,10546,coates,4 star,6841,Male,Ewallet,Express,18.0,"€ 3,383.62"
28/08/20,10547,Hats,3 star,6040,Unspecified,Direct Deposit,Express,12.0,"$9,430.45 "
26/08/20,10548,dresses ,3 star,5485,Male,Creditcard,Mail,19.0,"€ 1,354.18"
18/08/20,10549,pantas,3 star,8745,Unspecified,Prepaid Card,Mail,10.0,£ 4060.4158125000004
18/08/20,10550,Dresses,5 star,9365,Unspecified,Credit Card,Normal,13.0,"$2,904.03 "
21/08/20,10551,Hats,2star,8734,Male,Directdeposit,Normal,16.0,£ 5817.31677175
14/08/20,10552,Shirts/Tops,5 star,9965,Male,Cash,Express,7.0,"$4,965.25 "
23/08/20,10553,Shirts/Tops,3 star,8175,Unspecified,Credit Card,Express,5.0,₹ 388459.65750934
16/08/20,10554,coates,4 star,9303,Male,Direct Deposit,Economy,11.0,"€ 1,943.27"
23/08/20,10555,coates,1 start,8399,Female,Prepaid Card,Mail,14.0,"$2,528.42 "
8/8/2020 0:00,10556,dresses ,1 start,7502,Male,Prepaid Card,Normal,14.0,"$9,962.44 "
8/8/2020 0:00,10557,coates,1 start,6838,Female,Ewallet,Express,7.0,"€ 5,241.53"
31/08/20,10558,coates,5 star,7007,Unspecified,Credit Card,Normal,11.0,₹ 234895.78095268
31/08/20,10558,coates,5 star,7007,Unspecified,Credit Card,Normal,11.0,₹ 234895.78095268
31/08/20,10558,coates,5 star,7007,Unspecified,Credit Card,Normal,11.0,₹ 234895.78095268
23/08/20,10561,dresses ,1 start,7607,Male,Directdeposit,Mail,18.0,"$7,891.05 "
3/8/2020 0:00,10562,coates,2star,5858,Male,Creditcard,Express,8.0,£ 4114.86427075
8/8/2020 0:00,10563,Shirts/Tops,3 star,7066,Male,Credit Card,Mail,9.0,₹ 617567.83078528
18/08/20,10564,Dresses,2star,9142,Female,Creditcard,Normal,5.0,₹ 325580.74608394003
23/08/20,10565,coates,1 start,6328,Male,Cash,Mail,7.0,"€ 7,708.86"
4/8/2020 0:00,10566,Coats/Jackets,2star,6090,Female,Prepaid Card,Express,5.0,£ 1148.1217405
16/08/20,10567,coates,5 star,9433,Unspecified,Mobile,Normal,13.0,₹ 127655.91325387999
25/08/20,10568,pantas,3 star,7354,Female,Credit Card,Normal,10.0,₹ 577078.47118378
26/08/20,10569,Pants,5 star,5200,Male,Directdeposit,Economy,-2131.0,£ 4118.0053827500005
29/08/20,10570,Jeans,1 start,7807,Unspecified,Credit Card,Mail,6.0,£ 6232.343745500001
