Date,CustomerID,ProductType,Rating,Total_Ratings,Gender,PaymentMode,ShippingTime,Price,currency_description,price_inr,rating_encoded,ShippingMode_Economy,ShippingMode_Express,ShippingMode_Mail,ShippingMode_Normal,price_scaled,price_minmax_scaled
2020-08-06,10486,Coats/Jackets,1 star,6701,Male,Direct Deposit,19.0,2190.66134375,British Pound,222198.78009656252,0,0,0,1,0,-0.8704047531251151,1.2719294138138646
2020-08-17,10488,Dresses,5 star,7659,Female,Ewallet,10.0,1991.18,Americal Dollar,163316.58359999998,4,0,0,1,0,-1.164970187851931,1.1998687068629774
2020-08-17,10489,Shirts/Tops,4 star,7273,Unspecified,Direct Deposit,17.0,1749.4,Euro,155609.13,3,1,0,0,0,-1.2035276730580629,1.190436236808305
2020-08-14,10490,Shirts/Tops,1 star,9296,Female,Direct Deposit,17.0,6221.36,Americal Dollar,510275.94719999994,0,1,0,0,0,0.5707367295579825,1.6244815527119862
2020-08-05,10491,Coats/Jackets,1 star,9714,Female,Prepaid Card,20.0,1514.11,Euro,134680.0845,0,1,0,0,0,-1.3082277989523934,1.1648230310471148
2020-08-13,10492,Dresses,4 star,9170,Unspecified,Direct Deposit,19.0,3854.8617452500007,British Pound,390998.6268207076,3,0,1,0,0,-0.02596274534402943,1.4785086009346002
2020-08-04,10493,Pants,4 star,6943,Unspecified,Ewallet,17.0,634808.1963701401,Indian Rupee,634808.1963701401,3,0,0,0,1,1.1937246324710808,1.7768855465729867
2020-08-03,10494,Dresses,2 star,5668,Male,Credit Card,20.0,596893.42988816,Indian Rupee,596893.42988816,1,0,0,1,0,1.0040513468968553,1.7304850207921798
2020-08-07,10495,Shirts/Tops,4 star,5077,Unspecified,Ewallet,14.0,3215.41893075,British Pound,326139.9421459725,3,0,0,1,0,-0.3504262977208185,1.399133799251736
2020-08-08,10496,Hats,4 star,6594,Male,Prepaid Card,20.0,4564.22450475,British Pound,462949.29151679255,3,0,1,0,0,0.3339793099140981,1.5665626490523334
2020-08-06,10497,Dresses,1 star,7605,Male,Direct Deposit,11.0,5813.36,Euro,517098.372,0,0,1,0,0,0.6048667492698039,1.6328309143774595
2020-08-30,10499,Pants,4 star,7160,Unspecified,Cash,17.0,176647.10500702,Indian Rupee,176647.10500702,3,1,0,0,0,-1.0982826138986868,1.2161827517486818
2020-08-31,10501,Pants,4 star,6569,Unspecified,Credit Card,9.0,581033.69733056,Indian Rupee,581033.69733056,3,0,0,0,1,0.9247110828876277,1.7110756983118374
2020-08-30,10502,Coats/Jackets,3 star,8823,Female,Ewallet,16.0,5242.22,Euro,466295.46900000004,2,0,0,0,1,0.35071897459477347,1.5706577394085015
2020-08-30,10503,Coats/Jackets,4 star,8117,Unspecified,Prepaid Card,8.0,110529.79150523999,Indian Rupee,110529.79150523999,3,0,1,0,0,-1.429042611884801,1.1352676256815037
2020-08-24,10504,Coats/Jackets,1 star,5037,Female,Ewallet,14.0,5546.63,Euro,493372.73850000004,0,0,0,0,1,0.4861763477236492,1.6037952121687713
2020-08-29,10505,Shirts/Tops,3 star,5757,Male,Prepaid Card,15.0,1024.64,Americal Dollar,84040.9728,2,1,0,0,0,-1.5615561874910429,1.102850305748391
2020-08-07,10506,Dresses,2 star,7858,Female,Ewallet,13.0,4313.74,Americal Dollar,353812.95479999995,1,1,0,0,0,-0.21198864614458796,1.4330003493120158
2020-08-11,10507,Dresses,1 star,5848,Male,Direct Deposit,19.0,7236.8351195000005,British Pound,734032.1861708851,0,1,0,0,0,1.6901048531493617,1.8983170025470644
2020-08-16,10508,Cardigan,4 star,9566,Female,Mobile Payment,12.0,102369.19747878,Indian Rupee,102369.19747878,3,0,0,1,0,-1.4698669878432211,1.1252805971792599
2020-08-29,10509,Jeans,1 star,7352,Unspecified,Credit Card,9.0,2591.72,Americal Dollar,212572.87439999997,0,0,1,0,0,-0.9185595310521377,1.2601491200950772
2020-08-16,10510,Dresses,1 star,7287,Female,Prepaid Card,20.0,217387.35303316,Indian Rupee,217387.35303316,0,0,0,1,0,-0.894474509161989,1.2660411342274933
2020-08-13,10511,Dresses,4 star,6195,Unspecified,Mobile Payment,9.0,514514.66367266,Indian Rupee,514514.66367266,3,1,0,0,0,0.5919414303799996,1.6296689425132835
2020-08-02,10512,Pants,2 star,6416,Male,Credit Card,20.0,5925.050872750001,British Pound,600977.9100230327,1,1,0,0,0,1.0244844614569084,1.7354836543955128
2020-08-02,10513,Coats/Jackets,1 star,6535,Male,Mobile Payment,17.0,6930.87,Americal Dollar,568469.9574,0,0,0,1,0,0.8618594276397445,1.695700049385492
2020-08-09,10515,Hats,4 star,8129,Male,Direct Deposit,16.0,1442.5028307500002,British Pound,146313.06212297254,3,0,1,0,0,-1.2500323966990439,1.1790596023935012
2020-08-25,10516,Jeans,3 star,7033,Male,Direct Deposit,14.0,167727.12548098,Indian Rupee,167727.12548098,2,0,0,0,1,-1.1429059092778877,1.205266378568354
2020-08-29,10517,Hats,5 star,7532,Female,Credit Card,7.0,3124.78,Americal Dollar,256294.45560000002,4,0,0,0,1,-0.6998369401944131,1.3136560922826135
2020-08-21,10518,Jeans,2 star,7285,Female,Credit Card,14.0,2773.9,Euro,246738.40500000003,1,0,0,0,1,-0.7476422594036715,1.3019612880316436
2020-08-20,10519,Jeans,2 star,7678,Unspecified,Ewallet,18.0,159529.19686752,Indian Rupee,159529.19686752,1,0,0,0,1,-1.1839170561026198,1.195233659570629
2020-08-06,10520,Hats,4 star,5620,Unspecified,Ewallet,7.0,1012.61,Americal Dollar,83054.27219999999,3,0,0,0,1,-1.5664922786778104,1.1016427702450404
2020-08-04,10521,Shirts/Tops,4 star,7082,Unspecified,Direct Deposit,10.0,325505.3302182,Indian Rupee,325505.3302182,3,0,0,0,1,-0.3536010219924929,1.3983571539009223
2020-08-12,10522,Coats/Jackets,1 star,9686,Female,Credit Card,9.0,1813.71,Americal Dollar,148760.4942,0,0,0,1,0,-1.2377888165232256,1.1820547978206142
2020-08-30,10523,Coats/Jackets,1 star,6530,Unspecified,Mobile Payment,10.0,676891.7428365399,Indian Rupee,676891.7428365399,0,0,1,0,0,1.404252752977674,1.8283878730792054
2020-08-26,10524,Dresses,3 star,6654,Male,Direct Deposit,5.0,442385.73497213994,Indian Rupee,442385.73497213994,2,0,0,0,1,0.23110758750036858,1.5413967328637495
2020-08-30,10525,Cardigan,5 star,6081,Female,Direct Deposit,12.0,1513.049488,British Pound,153468.60956784003,4,1,0,0,0,-1.2142358899581855,1.1878166433698492
2020-08-05,10526,Jeans,2 star,9482,Unspecified,Direct Deposit,10.0,321706.90933682,Indian Rupee,321706.90933682,1,0,0,0,1,-0.3726030899310493,1.3937086028906822
2020-08-01,10527,Dresses,1 star,8880,Male,Credit Card,11.0,5795.0345085,British Pound,587790.350197155,0,0,0,1,0,0.958512070407904,1.7193445675313648
2020-08-12,10528,Shirts/Tops,1 star,7484,Unspecified,Credit Card,16.0,377596.03938408,Indian Rupee,377596.03938408,0,1,0,0,0,-0.0930108384796998,1.4621063608158769
2020-08-02,10529,Coats/Jackets,2 star,5498,Unspecified,Credit Card,8.0,6029.319179500001,British Pound,611553.8443766852,1,0,0,1,0,1.0773918746630002,1.7484266040736023
2020-08-30,10531,Pants,1 star,8535,Unspecified,Direct Deposit,18.0,5597.06,Euro,497858.487,0,0,0,0,1,0.5086168566651728,1.6092849225964851
2020-08-21,10532,Jeans,2 star,8399,Female,Credit Card,8.0,4773.37,Euro,424591.2615,1,1,0,0,0,0.14208854395362033,1.5196196522771572
2020-08-04,10533,Coats/Jackets,5 star,8349,Unspecified,Prepaid Card,10.0,6329.0235485,British Pound,641952.8585243551,4,0,0,0,1,1.2294666842057753,1.7856292660058724
2020-08-01,10534,Shirts/Tops,4 star,8046,Male,Credit Card,9.0,443946.32070874,Indian Rupee,443946.32070874,3,0,0,0,1,0.23891460971219955,1.5433065955748568
2020-08-08,10535,Cardigan,5 star,5080,Male,Cash,8.0,4853.44,Euro,431713.48799999995,4,0,0,1,0,0.17771835856690169,1.528335914699268
2020-08-31,10536,Jeans,1 star,6878,Male,Prepaid Card,10.0,7072.56,Americal Dollar,580091.3712,0,0,1,0,0,0.919996980445491,1.7099224687927856
2020-08-18,10537,Coats/Jackets,2 star,9832,Male,Cash,6.0,5836.06,Americal Dollar,478673.6412,1,0,0,0,1,0.4126423044323287,1.585806288419303
2020-08-12,10538,Cardigan,2 star,9925,Female,Direct Deposit,16.0,3365.6864065000004,British Pound,341381.5722112951,1,0,1,0,0,-0.2741781675003511,1.4177866808176465
2020-08-02,10539,Pants,4 star,7374,Female,Credit Card,12.0,1842.56,Americal Dollar,151126.7712,3,0,0,0,1,-1.2259512246081592,1.184950674734302
2020-08-12,10540,Dresses,1 star,9570,Male,Direct Deposit,14.0,2419.99272275,British Pound,245459.86186853255,0,0,1,0,0,-0.7540383287717646,1.3003965922933294
2020-08-24,10541,Shirts/Tops,5 star,9015,Unspecified,Credit Card,11.0,4487.03,Euro,399121.3185,4,1,0,0,0,0.014672019457965372,1.4884492441099626
2020-08-30,10543,Coats/Jackets,4 star,7100,Female,Mobile Payment,19.0,6425.44,Americal Dollar,527014.5887999999,3,0,0,1,0,0.6544738442209553,1.644966494152035
2020-08-28,10544,Cardigan,1 star,7547,Male,Ewallet,14.0,5382.49,Americal Dollar,441471.82979999995,0,0,0,1,0,0.22653566440055323,1.540278285239359
2020-08-25,10545,Shirts/Tops,2 star,8819,Female,Credit Card,20.0,6765.48,Euro,601789.446,1,0,1,0,0,1.0285442700590854,1.7364768214255464
2020-08-06,10546,Coats/Jackets,4 star,6841,Male,Ewallet,18.0,3383.62,Euro,300972.999,3,0,1,0,0,-0.47632702815588696,1.3683342057787338
2020-08-28,10547,Hats,3 star,6040,Unspecified,Direct Deposit,12.0,9430.45,Americal Dollar,773485.5090000001,2,0,1,0,0,1.8874749562034168,1.9466004312196612
2020-08-26,10548,Dresses,3 star,5485,Male,Credit Card,19.0,1354.18,Euro,120454.31100000002,2,0,0,1,0,-1.3793939816812821,1.147413366389088
2020-08-18,10549,Pants,3 star,8745,Unspecified,Prepaid Card,10.0,4060.4158125000004,British Pound,411847.97586187505,2,0,0,1,0,0.07833868920658471,1.50402427325603
2020-08-18,10550,Dresses,5 star,9365,Unspecified,Credit Card,13.0,2904.03,Americal Dollar,238188.5406,4,0,0,0,1,-0.7904140083140295,1.2914978659846383
2020-08-21,10551,Hats,2 star,8734,Male,Direct Deposit,16.0,5817.31677175,British Pound,590050.4401586025,1,0,0,0,1,0.9698184485939549,1.7221104915302092
2020-08-14,10552,Shirts/Tops,5 star,9965,Male,Cash,7.0,4965.25,Americal Dollar,407249.805,4,0,1,0,0,0.05533577356373033,1.4983969790533243
2020-08-23,10553,Shirts/Tops,3 star,8175,Unspecified,Credit Card,5.0,388459.65750934,Indian Rupee,388459.65750934,2,0,1,0,0,-0.03866425180030953,1.4754013811909474
2020-08-16,10554,Coats/Jackets,4 star,9303,Male,Direct Deposit,11.0,1943.27,Euro,172853.8665,3,1,0,0,0,-1.1172587563717018,1.2115405429875814
2020-08-23,10555,Coats/Jackets,1 star,8399,Female,Prepaid Card,14.0,2528.42,Americal Dollar,207381.0084,0,0,0,1,0,-0.9445324796907412,1.2537952549776963
2020-08-08,10556,Dresses,1 star,7502,Male,Prepaid Card,14.0,9962.44,Americal Dollar,817119.3288,0,0,0,0,1,2.105758509856665,2.0
2020-08-08,10557,Coats/Jackets,1 star,6838,Female,Ewallet,7.0,5241.53,Euro,466234.0935,0,0,1,0,0,0.3504119361024146,1.570582627368146
2020-08-31,10558,Coats/Jackets,5 star,7007,Unspecified,Credit Card,11.0,234895.78095268,Indian Rupee,234895.78095268,4,0,0,0,1,-0.806886443696435,1.2874681489882778
2020-08-23,10561,Dresses,1 star,7607,Male,Direct Deposit,18.0,7891.05,Americal Dollar,647223.921,0,0,0,1,0,1.255835822960665,1.792080052677858
2020-08-03,10562,Coats/Jackets,2 star,5858,Male,Credit Card,8.0,4114.86427075,British Pound,417370.6829821726,1,0,1,0,0,0.1059667112667722,1.510783025528367
2020-08-08,10563,Shirts/Tops,3 star,7066,Male,Credit Card,9.0,617567.83078528,Indian Rupee,617567.83078528,2,0,0,1,0,1.1074775818256448,1.7557865895697558
2020-08-18,10564,Dresses,2 star,9142,Female,Credit Card,5.0,325580.74608394003,Indian Rupee,325580.74608394003,1,0,0,0,1,-0.353223744842543,1.3984494487017942
2020-08-23,10565,Coats/Jackets,1 star,6328,Male,Cash,7.0,7708.86,Euro,685703.097,0,0,0,1,0,1.4483326366118228,1.8391713092957982
2020-08-04,10566,Coats/Jackets,2 star,6090,Female,Prepaid Card,5.0,1148.1217405,British Pound,116453.98813891501,1,0,1,0,0,-1.3994060891218043,1.142517725421985
2020-08-16,10567,Coats/Jackets,5 star,9433,Unspecified,Mobile Payment,13.0,127655.91325387999,Indian Rupee,127655.91325387999,4,0,0,0,1,-1.343367080090279,1.1562267697685626
2020-08-25,10568,Pants,3 star,7354,Female,Credit Card,10.0,577078.47118378,Indian Rupee,577078.47118378,2,0,0,0,1,0.9049245773105621,1.706235247220577
2020-08-29,10570,Jeans,1 star,7807,Unspecified,Credit Card,6.0,6232.343745500001,British Pound,632146.6261060651,0,0,0,1,0,1.1804097996601315,1.7736282863782198
